Date,Clean Tweet
28/11/16 23:55,  that too at the peak of  demonitisation    so      leave Pappu   understand mood of nation like  NITISH
28/11/16 23:55, coverage of Bonda Tribes relating to demonitisation is really a praise worthy effort 
28/11/16 23:51, Modiji still reckon the common people  support demonitisation
28/11/16 23:49, I didn t getting how  Demonitisation destroy economy  PM must b knwg merits demerits  Pl writ a blog which ll help us out 
28/11/16 23:44,Merrut will witness the extraordinary presence of common man Roll Back Demonitisation pic twitter com avBhVH7RC0
28/11/16 23:44,Roll Back Demonitisation Appeal by common man for common man pic twitter com 0Xg71gGh4c
28/11/16 23:43, ruling party in odisha   supported demonitisation and barred themselves from band   
28/11/16 23:43,Results of Local body elections prove dat  IndiaRejectsBandh outrightly as common man supports PM Modi s historic decision of Demonitisation  twitter com manakgupta sta tus 803261071561588736  
28/11/16 23:43,  u guys still can t see the public support for demonitisation     What journalists are u    
28/11/16 23:40,PM must b accountable 4 destruction of livelihood of major population of country  Demonitisation    opposition must fight 4 all
28/11/16 23:38,RBI widrawl limit removed is bad idea  this will make failure  people sacrifice for demonitisation become worthless 
28/11/16 23:35,PM owes explanation not only to Parliament but also to all suffering country men and families of dead  Demonitisation
28/11/16 23:30, IndiaRejectsBandh Indian public might be illiterate but are way more educated about d rationale 4 demonitisation than d opposition leaders
28/11/16 23:30,  on twitter he may be against demonitisation but at ground organised camps across the city for opening bank accnt
28/11/16 23:25,  people are doing so to deal with the problem of Demonitisation
28/11/16 23:23, journalist like you can only write twitter stories  plz dnt let ur fake imagination write on demonitisation
28/11/16 23:22, 1 The overwhelming support of people of India for demonitisation proves that Indians are generally honest   supoort honest
28/11/16 23:20, Make in India  is now  Broke in India   Demonitisation
28/11/16 23:20,   I m very much thankful to God that he kept me LIVE to feel  Demonitisation Days    Zindagi vasool  
28/11/16 23:16, some people are tired of  Demonitisation  Mistry  PakWar and started focusing on such news  LMAO 
28/11/16 23:15, Demonitisation  BharathBandh  BharatAgainstCorruption   pic twitter com 0iyw4CCTgZ
28/11/16 23:13,No comments about demonitisation   I just want to have  Raghuramrajan back
28/11/16 23:09, JantaVsNeta Firstly Modi should take initiative as he did for demonitisation
28/11/16 23:06,KCR backs Modi s demonitisation   announce slew of measures  orangenews9 com kcr backs modi s demonitisation announce slew of measures    via  News9   Latest News
28/11/16 23:06,A local symbolic gesture deployed at airport for foreigners who are looking for currency exchange   demonitisation pic twitter com O3zjnDelW2
28/11/16 23:01,In othr news  2day my tech n app averse Dad dwnloaded  Paytm n paid his mobile bill  w o askn 4 help frm me   bro Maan gaye  demonitisation
28/11/16 22:55, correspondent telecasting that  Demonitisation was bad move   unplanned Really  how to plan it then  Biased reporting indeed 
28/11/16 22:54,Aap Mumbai South Central District Protest against DeMonitisation   people were very angry with modi    DeMonetisation pic twitter com 8ofAbV58du
28/11/16 22:54,Self imposed band for 4 months didn t impact anything but  Demonitisation does what a hypocracy   twitter com ANI news statu s 803287876565798913  
28/11/16 22:53, new nautanki today  What hppnd to d demonitisation drv  Dependent n Ashutoshs  stupid tweets 
28/11/16 22:50,  please read my tweet  Demonitisation is the first step   Modiji will bring further action to eradicate BM
28/11/16 22:49,Demonitisation of old currency notes  Black Money   Corruption very well explained in Laymans Langua   youtu be QxuV3qNJpig a via
28/11/16 22:49,Demonitisation of old currency notes  Black Money   Corruption very well explained in Laymans Langua   youtu be eJ9LrXeAM5E a via
28/11/16 22:49,Bhakths feel like the act of  Demonitisation is like a war bw Angels  BJP  Demons restOfPoliticalParties   seriously   IndiaRejectsBandh
28/11/16 22:48,Retweeted Redjohn       Pic 1  what Modi told us about demonitisation Pic 2   what rbi tells us     fb me 120bbEYG1
28/11/16 22:47, Haha   Yes he was Poverty and Demonitisation are both state of mind  
28/11/16 22:46,RT aapkarauf  Aap Mumbai South Central District Protest against DeMonitisation   People share their views and suppo   twitter com i web status 8 03285818450345984  
28/11/16 22:45, Didi  Behanji  Netaji  Comrad and  Topiwala   Sabka Nikal gaya diwala  Thanks to  Chaiwala  Demonitisation  FlopBandh
28/11/16 22:43,Aap Mumbai South Central District Protest against DeMonitisation   People share their views and support Aap   DeMonetisation pic twitter com UtyaMVCTBH
28/11/16 22:42,If There is nobody else with you  that means everybody else is fine with  Demonitisation     so for who s rights u r fighting  LOOSERS  twitter com AITCofficial s tatus 803238574187384832  
28/11/16 22:41, u r extremely misinfrmd abt d realities of rural India   it s probs due 2 demonitisation   Kindly stp propgatin BJP lies or read
28/11/16 22:41,first ever in india a bandh called against demonitisation      failed utterrr uteer flop   greatnesss of sir ji namoooo     jaiho started
28/11/16 22:39, good point  I think govt is trying to take people s attention away from demonitisation failure   into  something good  
28/11/16 22:38,bandh was complete in Kochi today but the locals with whom I interacted are completely in favour of demonitisation    twitter com neha1111111 st atus 803278984079441920  
28/11/16 22:38,One more benefit of demonitisation tracking of criminals fugitive made easy helping citizens to get result immediately  
28/11/16 22:37,   Bro  it s like teaching  Demonitisation to Donkey  Leave it  It ain t getting it
28/11/16 22:35, Demonitisation   Why not make Political donations also mandatory by digital means only by using mobile phones to make India fully digital 
28/11/16 22:35,When congress came down to 44  they started glorifying every local body election success  BJP behaving same way post demonitisation blunder 
28/11/16 22:35,This sample poll could b 2disheartening 4all d modi baiters who thought demonitisation issue wud seal  jis fate  TAKE A LOOK  pic twitter com 12CxRwBwui
28/11/16 22:34,Aap Protest in Mumbai South Central District against DeMonitisation    Got full support from People     DeMonetisation pic twitter com BKakR501Xq
28/11/16 22:33,Aap Mumbai South Central District Protest Successful  people were very angry with DeMonitisation     DeMonetisation pic twitter com 3PqgueFHov
28/11/16 22:32,  Demonitisation of Indian currency This is a very big thing here in india
28/11/16 22:31, 20 days gone from the day  demonitisation was announced   why they did not deposit old currency in bank   stop blaming govt  twitter com thenewsminute  status 803282308396564480  
28/11/16 22:30,Amar Singh    msy   i support demonitisation   Wrong to link it with UP polls  Those who do so worried abt losin their cash
28/11/16 22:28,Grim  extremely grim   demonitisation  scroll in article 822128  demonetisation myanmar china demonstrate how good intentions can have disastrous results  
28/11/16 22:28,Pic 1  what Modi told us about demonitisation Pic 2   what rbi tells us about demonitisation pic twitter com bTsPaGPpdg
28/11/16 22:26,   Just trying to prove like all Modi haters how ineffectual is  Demonitisation must b held accountable
28/11/16 22:25, Feku is a Fool to have unleashed  Demonitisation when Gloom all around  only to be caught off guard    TamilNadu  AIADMK  twitter com Raghav Bahl st atus 803246866494144517  
28/11/16 22:24, Modi hardworking to pull all indians on roads very soon you will agree with me after close demonitisation plz wait two quarter
28/11/16 22:24,Opposition parties hope that  Demonitisation would affect BJP has demolished in  MaharashtraNagarPalika elections
28/11/16 22:23, Demonitisation  twitter com sardesairajdee p status 803206395336265728  
28/11/16 22:23, it means  failed by implementing  Demonitisation also he insulted Indians standing in bank queues 
28/11/16 22:22,RT PreetiSMenon  Must read   AashishKhetan questions the constitutional validity of demonitisation   Has GoI crosse   twitter com i web status 8 03223402127310848  
28/11/16 22:22, MayawatiNextUPCM   DemonetizationBenefits   Demonitisation     twitter com TimesNow statu s 803263515968598021  
28/11/16 22:22,has  DeMonitisation drive shifted  blackmoney to bankers   accountants 
28/11/16 22:19, Demonitisation will end up making common  ppl more aware about how to convert  blackmoney into white  Till date it was known to specifics 
28/11/16 22:19,       28                                                                                         demonitisation  BlackMoney deshbadalrahahai
28/11/16 22:17,Yes  that is a great collateral effect of  demonitisation  Ji   Change is always painful but inevitable   
28/11/16 22:15, DeMonitisation also reflects Mr Modi is really not interested in targeting  BlackMoney as 95  in form of assets are yet to be touched 
28/11/16 22:15,12 days after demonitisation   cash crunches keep increasing   IRPcities
28/11/16 22:14,Today i went to college i support demonitisation  IndiaRejectsBandh
28/11/16 22:13,Height of frustation   wrath upon PM Modi  unable to hide their bad emotions ovr demonitisation   Nw expressed wnt 2 die soon 
28/11/16 22:13, I am sure that the ministry is lying and u know the real reason of deaths and it is bcoz of  Demonitisation  twitter com vishwamtoi sta tus 803212872260030464  
28/11/16 22:10, This is vote for demonitisation   Great    Honest decisions will definitely pay dividend s  Great going 
28/11/16 22:10,Aaj 28 11 16 Ko virodhi partiyon ka demonitisation ke liye band ka aahvan Puri tarah se vifal raha
28/11/16 22:07,RBI announcement   Banks exchange deposits effected from November 10 upto November 27 2016 amounted to   8 44 982 crore  Demonitisation  twitter com RBI status 803 269057231228930  
28/11/16 22:07, Swamy sir  opposition parties playing dirty politics on demonitisation   Why don t you pursue their pending cases   fix them  
28/11/16 22:07, BharathBandh total failure as opposition had no money to  mobilise  crowd   demonitisation Didi  Kejri   Pappu made ass out of themselves
28/11/16 22:06, Demonitisation is not about black money now its a cashless economy   better spin than anyone has ever thrown
